latitudes,longitudes,Year,Month,Day,Time,hum_1,hum_2,hum_3,hum_4,hum_5,hum_6,hum_7,hum_8,hum_9,hum_10,hum_11,hum_12,hum_13,hum_14,hum_15,hum_16,hum_17,hum_18,hum_19,hum_20,hum_21,hum_22,hum_23,hum_24,hum_25,hum_26,hum_27,hum_28,hum_29,hum_30
20.08,-171.24,2022,1,1,21.35,77.0274,76.9274,52.096,16.1858,1.3655,8.3216,6.4393,-0.8415,-0.0715,0.3839,1.0481,0.9573,1.6572,2.8743,5.2943,11.7327,20.8358,33.5921,24.1963,13.7557,6.0401,2.1237,1.4481,0.8752,0.5445,0.2983,0.2222,0.1952,0.1805,0.1576
73.52,-159.64,2022,1,1,21.38,88.2627,23.0492,34.1528,44.7303,48.6384,44.8311,76.854,33.8399,18.3184,11.3819,6.7789,3.9531,2.676,1.8206,1.5724,1.3302,1.0905,1.0104,0.8403,0.7648,0.7107,0.5649,0.4428,0.3919,0.3942,0.459,0.4343,0.3812,0.3271,0.2584
20.26,165.62,2022,1,1,21.39,80.7872,79.4589,63.0867,7.9289,3.9184,6.9174,6.9896,5.1138,2.702,0.6154,2.5599,3.0715,6.9894,12.3355,17.4976,19.0566,30.6401,43.6135,31.4532,12.0694,4.5484,1.8235,1.5758,1.1225,0.7451,0.4588,0.2404,0.1414,0.1324,0.1479
-20.26,19.85,2022,1,1,21.39,NAN,33.0199,43.1859,46.8378,55.7285,12.8121,3.3704,6.29,1.247,4.6486,6.9376,7.7836,12.6237,32.5368,24.0432,26.7669,40.8628,35.0178,14.9404,7.4975,3.0015,1.6356,1.1372,0.8724,0.6939,0.4047,0.2596,0.2008,0.1295,0.073
-24.02,-9.87,2022,1,1,21.39,83.5965,61.8107,17.0118,11.8842,6.6319,9.6696,10.017,9.199,17.0333,32.2141,33.1769,23.3025,15.5115,10.7614,10.1187,10.4831,10.6587,11.6984,10.2404,5.9553,4.2363,2.2705,1.4142,1.0116,0.6144,0.3437,0.2252,0.1715,0.1194,0.0833
-72.01,39.46,2022,1,1,21.41,NAN,NAN,62.1308,80.2793,77.1366,73.5697,66.5064,63.5706,56.0645,56.7371,60.884,21.4246,2.3495,1.3773,0.9839,0.8156,0.7092,0.5196,0.3301,0.2455,0.1949,0.1603,0.1284,0.1015,0.0747,0.0612,0.0482,0.0388,0.0302,0.0215
48.08,-165.18,2022,1,1,21.49,41.4059,4.5015,6.0255,3.8051,21.2348,24.036,8.6979,3.406,7.9432,23.1773,49.1113,33.6817,3.1215,1.5597,1.3833,1.167,1.2125,1.1971,1.0875,0.9726,0.7798,0.5434,0.4329,0.3421,0.2906,0.2578,0.2247,0.1981,0.1691,0.1302
-6.69,163.78,2022,1,1,21.51,79.5901,65.3985,72.9909,84.8954,84.0115,80.7654,72.7147,64.227,53.7515,53.6071,59.8651,58.5458,53.2192,50.7879,45.3968,30.2981,27.8188,56.5686,27.2625,7.7292,4.2039,3.0233,2.5394,1.3655,0.7163,0.4336,0.2652,0.1651,0.0968,0.07
37.27,-157.54,2022,1,1,21.52,66.633,33.4383,7.0138,12.7296,7.0092,11.1827,56.5401,68.4614,56.02,48.7786,52.42,100.5279,16.0895,1.9194,1.8178,2.5968,3.7492,4.1956,3.0966,2.3211,1.8363,1.3616,1.0316,0.7152,0.6281,0.5179,0.3463,0.2368,0.1724,0.1387
36.55,167.43,2022,1,1,21.54,71.5658,62.9892,44.6195,45.4029,45.6663,57.6416,33.9568,7.7403,-10.1004,-0.7684,1.8648,1.7619,1.1594,1.2202,1.7387,2.261,2.2023,1.5378,1.4298,1.6166,1.4818,1.2565,0.7966,0.5436,0.4061,0.3633,0.2985,0.2359,0.1656,0.1062
-47.50,0.59,2022,1,1,21.54,97.2103,77.7113,34.6567,10.5502,5.6598,8.1419,18.594,29.7665,10.3394,10.4039,4.2104,2.0646,1.2921,1.0967,1.1106,0.9336,1.0321,0.9003,0.7708,0.7075,0.5908,0.4831,0.366,0.301,0.2361,0.1668,0.1145,0.0833,0.062,0.0471
-43.00,-13.10,2022,1,1,21.55,80.9207,71.4363,58.8053,23.7028,15.0302,38.3745,35.0481,33.596,54.4888,60.7145,25.8873,3.0825,1.2446,1.1587,2.0643,2.8066,3.4397,3.2074,2.4933,1.6806,1.2518,0.8792,0.6926,0.5136,0.3972,0.2782,0.1719,0.1064,0.0674,0.0472
